event_date,event_title,event_description,landslide_trigger,country_name,country_code,admin_division_name,longitude,latitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,elevation_m,slope_deg,location_accuracy_km,FAOSOIL,DOMSOI,landslide_occurred
2010-04-17 00:00:00,"Nam Nang, Gangtok","On the same day, another minor landslide was reported at Nam-Nang. ",downpour,India,IN,Sikkim,88.6087,27.322,0.26,1.83,3.59,4.09,1.22,1509.0,32.9637078729091,1.0,Bd32-2bc,Bd,1
2015-08-21 00:00:00,Synthetic negative example,No recorded landslide at this location on 2015-08-21,none,India,IN,Assam,91.6469,26.1468,15.0,99.2,162.4,317.2,60.9,57.0,8.894608374531636,5.0,Ao79-a,Ao,0
2023-09-25 00:00:00,Synthetic negative example,No recorded landslide at this location on 2023-09-25,none,India,IN,Assam,91.8383,26.1309,5.6,32.4,97.5,130.4,28.7,105.0,8.517835654237123,5.0,Nd2-2b,Nd,0
2007-09-11 00:00:00,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","on highway, blocking road",rain,India,IN,Meghalaya,91.27,25.52,7.02,51.55,272.63,362.22,88.97,1346.0,10.988566845299832,,Ao75-2b,Ao,1
2013-07-13 00:00:00,Synthetic negative example,No recorded landslide at this location on 2013-07-13,none,India,IN,Nagaland,94.1066,25.67,10.6,47.3,75.2,240.4,27.1,1442.0,18.41213576563324,25.0,Ao76-2/3c,Ao,0
2016-07-09 00:00:00,Synthetic negative example,No recorded landslide at this location on 2016-07-09,none,India,IN,Arunachal Pradesh,94.9829,28.611,10.1,33.4,100.8,317.8,49.0,1668.0,32.48339327835614,5.0,Ao80-2bc,Ao,0
2015-07-05 00:00:00,Synthetic negative example,No recorded landslide at this location on 2015-07-05,none,India,IN,Arunachal Pradesh,95.86,28.4659,5.4,63.4,255.6,319.3,81.4,1066.0,27.396267400283048,50.0,I-Af-Bd-2c,I,0
2017-09-23 00:00:00,Synthetic negative example,No recorded landslide at this location on 2017-09-23,none,India,IN,Assam,93.1645,25.5215,8.9,19.200000000000003,103.10000000000001,210.0,49.7,278.0,3.2128253404789087,25.0,Ao76-2/3c,Ao,0
2021-08-03 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-08-03,none,India,IN,Nagaland,94.9152,26.222,4.0,21.8,129.4,174.7,46.4,1762.0,28.42576702358958,25.0,Ao76-2/3c,Ao,0
2019-06-09 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-06-09,none,India,IN,Assam,91.6906,26.1016,4.9,32.400000000000006,60.5,140.70000000000002,22.6,112.0,39.5106853976653,5.0,Ao77-2a,Ao,0
2019-07-27 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-07-27,none,India,IN,Meghalaya,91.8587,25.9702,21.0,59.5,92.2,174.70000000000002,25.1,282.0,9.707649981037308,5.0,Nd2-2b,Nd,0
2007-10-16 00:00:00,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland","occurred at 2pm, stranded vehicles on road between cities, multiple events on road",rain,India,IN,Nagaland,94.0132,25.7055,15.77,31.91,39.47,71.12,15.78,1451.0,14.569286101009892,5.0,Ao76-2/3c,Ao,1
2016-06-06 00:00:00,Synthetic negative example,No recorded landslide at this location on 2016-06-06,none,India,IN,Assam,93.117,24.808,4.7,22.6,27.8,71.4,11.9,39.0,5.900698486822301,1.0,Gd25-2a,Gd,0
2016-06-12 23:00:00,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","Estimated location along road. Heavy rains on Sunday night triggered series of landslides between Ziro and Ripali, Tamen, 10Kms from Old Ziro, stranding the commuters for the entire day. However due to heavy rains, the restoration work had to be halted and will resume on Tuesday.",downpour,India,IN,Arunachal Pradesh,93.871,27.6438,23.76,42.42,87.79,107.03,23.76,1708.0,22.834392972989953,10.0,Ao80-2bc,Ao,1
2021-06-19 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-06-19,none,India,IN,Arunachal Pradesh,91.8569,27.5799,6.4,20.400000000000002,49.5,135.7,12.6,2757.0,26.387393427090977,5.0,Ao80-2bc,Ao,0
2014-08-20 00:00:00,Synthetic negative example,No recorded landslide at this location on 2014-08-20,none,India,IN,Manipur,93.8794,25.5098,19.5,31.2,146.5,217.3,42.7,1646.0,15.451697691723982,10.0,Bh16-2/3c,Bh,0
2022-06-28 00:00:00,Synthetic negative example,No recorded landslide at this location on 2022-06-28,none,India,IN,Assam,93.4333,24.75,21.2,38.1,95.7,267.2,28.5,467.0,22.45952250962254,25.0,Bh16-2/3c,Bh,0
2019-06-08 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-06-08,none,India,IN,Nagaland,94.1351,25.4769,7.6,14.399999999999999,27.099999999999998,36.199999999999996,7.6,1673.0,19.73007978274894,5.0,Ao76-2/3c,Ao,0
2013-08-04 00:00:00,"Suruhuto Town, Nagaland","Incessant torrential rain, which began Sunday at around 11.30 p.m. has completely cut off Suruhuto town from the rest of the state. In a press release, NGZPMC joint secretary Hotoshe Sema said all three links connecting Zunheboto, Mokokchung and Tuensang have been cut off. Road to Zunheboto has been  blocked in 5-6 places and Mokokchung road has been blocked in two places near Zhekuto and Longsa. The valleys of Nanga (Dikhu), Phizo and Tizu, known as rice bowls of Suruhuto Area has been damaged by floods and landslides. Many terrace fields and canals have been washed away by flood. A team of Nanga (Dikhu) Greener Zone Project Management Committee (NGZPMC) who were on GPS mapping of Community Conserved Area (CCA) has been stranded at Nanga valley owing to flood. Log bridges connecting Phuye New/Old and Suruhuto/Surumi/Aichi Saghemi villages have been washed away. Travelers from Tuensang to Kohima/Dimapur via Suruhuto-Coco shortcut road have been requested to take the via Mokokchung rout",rain,India,IN,Nagaland,94.564,26.0838,5.78,14.93,47.43,91.56,17.14,1834.0,13.9074099893744,25.0,Ao76-2/3c,Ao,1
2012-09-12 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-09-12,none,India,IN,Assam,93.1477,25.4749,0.4,11.5,31.5,116.0,9.0,147.0,3.5885571438036794,50.0,Ao76-2/3c,Ao,0
2012-07-27 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-07-27,none,India,IN,Manipur,94.0573,23.9939,32.3,57.9,136.6,239.79999999999998,32.3,976.0,12.803323355556538,50.0,Bh16-2/3c,Bh,0
2015-08-16 00:00:00,Synthetic negative example,No recorded landslide at this location on 2015-08-16,none,India,IN,Nagaland,94.0885,25.7131,4.4,19.5,71.1,213.9,17.2,1413.0,25.132660081730556,50.0,Ao76-2/3c,Ao,0
2022-09-19 00:00:00,Synthetic negative example,No recorded landslide at this location on 2022-09-19,none,India,IN,Sikkim,88.4397,27.0816,10.4,17.4,52.2,113.8,17.2,249.0,23.119881010719286,5.0,Rd29-1a,Rd,0
2010-07-25 00:00:00,"road between Halfong and Redzol(?) or Silchar, Assam",Landslides coupled with lack of maintenance have cut off road link between Haflong and Silchar.  The situation became worse after a few spells of heavy rainfall during the past week.,downpour,India,IN,Assam,92.801,25.0477,3.43,18.78,96.12,168.55,33.45,169.0,26.744232985272472,25.0,Gd25-2a,Gd,1
2015-08-11 00:00:00,Khoupum,"In a press statement, ZB-AMN General Secretary Dr Gairiangmei Maringmei said due to recent incessant rain, several areas of the Zeliangrong region have experienced landslides.",continuous_rain,India,IN,Manipur,93.5291,24.7016,1.62,29.54,76.66,200.84,33.86,657.0,12.984858642158148,5.0,Bh16-2/3c,Bh,1
2010-09-09 23:00:00,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh","Sep 10, 2010, 09.40pm IST  NEW DELHI: Thirteen people were killed as heavy monsoon rains wracked havoc in north and east India, triggering landslides and inundating lakhs of acres of farmland on Friday.  At least eight people were buried alive under the debris following massive landslides triggered by incessant rains in Arunachal Pradesh.  Upper Siang district remained cut off after a vital bridge connecting the area with other places was badly damaged due to flash floods and landslides.",downpour,India,IN,Arunachal Pradesh,95.4112,28.3036,38.76,89.09,188.99,268.63,50.35,1828.0,39.11774685252796,,Ao80-2bc,Ao,1
2010-07-24 00:00:00,Synthetic negative example,No recorded landslide at this location on 2010-07-24,none,India,IN,Sikkim,88.3664,27.1695,35.1,101.3,230.1,455.4,45.6,1583.0,23.603277744846192,5.0,Rd29-1a,Rd,0
2010-08-09 00:00:00,Synthetic negative example,No recorded landslide at this location on 2010-08-09,none,India,IN,Manipur,93.9784,24.6596,1.1,3.2,51.2,195.29999999999998,18.4,772.0,3.8377078345156304,,Gh12-2a,Gh,0
2017-06-23 00:00:00,Synthetic negative example,No recorded landslide at this location on 2017-06-23,none,India,IN,Nagaland,94.564,26.0838,17.7,85.5,140.5,252.1,65.4,1834.0,13.9074099893744,25.0,Ao76-2/3c,Ao,0
2019-07-13 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-07-13,none,India,IN,Meghalaya,91.8587,25.9702,16.6,57.7,172.3,365.9,54.3,282.0,9.707649981037308,5.0,Nd2-2b,Nd,0
2018-09-05 00:00:00,Synthetic negative example,No recorded landslide at this location on 2018-09-05,none,India,IN,Arunachal Pradesh,96.174,27.9032,11.9,37.8,143.29999999999998,279.5,50.8,208.0,0.926369172997235,1.0,Af48-2ab,Af,0
2010-07-28 00:00:00,Synthetic negative example,No recorded landslide at this location on 2010-07-28,none,India,IN,Nagaland,94.0212,25.2745,6.2,12.8,49.7,135.6,18.7,1070.0,13.95022570481308,5.0,Ao76-2/3c,Ao,0
2016-10-15 00:00:00,Namchi,"The road on way to Peiling in Sikkim remained cut off due to landslides at Namchi and Rangpo but the Lava-Lolegaon route in Darjeeling was still working, though only for cars and the small vehicles took long detour through the second route, the officials said.",rain,India,IN,Sikkim,88.3664,27.1695,0.71,17.25,66.59,110.6,20.4,1583.0,23.603277744846192,5.0,Rd29-1a,Rd,1
2012-09-22 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-09-22,none,India,IN,Sikkim,88.4397,27.0816,6.5,41.8,173.1,449.4,85.0,249.0,23.119881010719286,5.0,Rd29-1a,Rd,0
2020-08-17 00:00:00,Synthetic negative example,No recorded landslide at this location on 2020-08-17,none,India,IN,Manipur,93.9667,25.1333,4.7,34.4,59.2,120.8,26.0,1008.0,2.1157468041581975,25.0,Ao76-2/3c,Ao,0
2015-08-20 18:00:00,between Phesama and Kuima in Nagaland,The situation has been worsened as another huge landslide occurred at the same place on Thursday at around 6 pm.,continuous_rain,India,IN,Nagaland,94.1057,25.6263,8.68,20.24,33.33,110.24,8.68,1511.0,16.03432433908622,5.0,Ao76-2/3c,Ao,1
2011-09-08 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-09-08,none,India,IN,Assam,91.7747,26.1097,269.3,346.6,395.8,436.40000000000003,269.3,58.0,2.260732414259265,5.0,Nd2-2b,Nd,0
2011-06-08 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-06-08,none,India,IN,Arunachal Pradesh,94.8885,28.9986,36.8,76.6,317.9,483.1,67.3,587.0,9.700569437024638,5.0,I-Af-Bd-2c,I,0
2016-07-01 00:00:00,Synthetic negative example,No recorded landslide at this location on 2016-07-01,none,India,IN,Nagaland,94.1327,25.4786,18.7,54.099999999999994,77.7,205.9,19.2,1751.0,9.58752644399106,5.0,Ao76-2/3c,Ao,0
2021-06-04 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-06-04,none,India,IN,Assam,91.7599,26.1771,6.6,11.2,90.4,148.4,64.4,82.0,8.895692965992287,5.0,Ao79-a,Ao,0
2019-07-23 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-07-23,none,India,IN,Meghalaya,90.2167,25.5144,16.6,41.7,59.2,326.3,16.6,316.0,13.589593958391731,,Nd2-2b,Nd,0
2019-08-21 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-08-21,none,India,IN,Assam,92.8339,25.2946,1.3,4.4,128.70000000000002,148.1,109.7,885.0,17.07308516773084,,Ao74-2b,Ao,0
2012-06-21 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-06-21,none,India,IN,Nagaland,94.13,25.83,24.6,39.1,109.10000000000001,149.3,26.0,1014.0,8.821089630664796,,Ao76-2/3c,Ao,0
2011-07-26 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-07-26,none,India,IN,Nagaland,94.04619681,25.70223725,36.7,67.4,186.5,341.2,50.1,1013.0,9.356034364378676,5.0,Ao76-2/3c,Ao,0
2016-06-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2016-06-11,none,India,IN,Manipur,94.4481,25.1941,14.2,47.5,89.9,117.0,19.8,1720.0,13.629654547724757,25.0,Bh16-2/3c,Bh,0
2016-07-19 00:00:00,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India","(Location along road estimated. Landslide may have occured a couple days before June 19, 2016). Landslides triggered by torrential rains over the past few days blocked the road at 5 km off Sangam point on Aalo- Pangin road causing a total disruption in road communication.  According to official sources, men and machineries were pressed into service on Tuesday to clear the debris but without any progress as the landowners were obstructing the works demanding compensation.  Meanwhile, Siang Deputy Commissioner Rahul Singh along with ADC and EAC Pangin visited the landslide-hit area on Tuesday to assess the extent of damage.  He interacted with TK Engineering officials and asked them to put more men and machineries to carryout the restoration work.",downpour,India,IN,Arunachal Pradesh,94.9612,28.235,14.48,89.14,199.95,260.38,40.3,312.0,43.508931111637935,50.0,Ao80-2bc,Ao,1
2010-08-21 18:00:00,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland","Kohima, August 22 2010: Fresh landslide has occurred between Mao Gate and Kohima on Saturday evening.  The landslide occurred near Kigwema but the authorities are clearing it on war-footing.",downpour,India,IN,Nagaland,94.1211,25.5718,5.7,25.64,59.56,84.08,10.84,1623.0,11.162178370173905,10.0,Ao76-2/3c,Ao,1
2013-06-16 00:00:00,Synthetic negative example,No recorded landslide at this location on 2013-06-16,none,India,IN,Arunachal Pradesh,95.4149,28.3092,11.4,12.1,21.0,163.0,11.4,1851.0,50.98081968480692,25.0,Ao80-2bc,Ao,0
2012-06-25 00:00:00,"Tirap , Arunachal Pradesh",Landslides triggered by torrential rain have snapped road communication in Tirap district of Arunachal Pradesh for the past several days.,downpour,India,IN,Arunachal Pradesh,95.8011,27.174,36.02,76.5,135.79,244.84,36.02,295.0,1.041280595140532,10.0,Ao76-2/3c,Ao,1
2017-06-07 00:00:00,Synthetic negative example,No recorded landslide at this location on 2017-06-07,none,India,IN,Arunachal Pradesh,93.0515,27.8837,8.5,20.7,347.9,499.5,119.0,1585.0,44.95634585071402,10.0,Ao80-2bc,Ao,0
2022-09-19 00:00:00,Synthetic negative example,No recorded landslide at this location on 2022-09-19,none,India,IN,Manipur,94.0564,24.4279,0.7,8.200000000000001,19.7,41.8,7.1,895.0,8.395047652311604,50.0,Ao76-2/3c,Ao,0
2014-09-22 00:00:00,VIP Road,A portion of VIP Road was blocked due to landslide,rain,India,IN,Assam,91.8178,26.159,126.76,191.59,231.7,266.59,126.76,61.0,6.774041654801501,5.0,Af48-2ab,Af,1
2021-06-06 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-06-06,none,India,IN,Mizoram,92.7146,23.7365,26.7,35.1,65.3,97.9,26.7,1024.0,35.93984192404095,1.0,Bd61-2c,Bd,0
2014-08-26 00:00:00,Synthetic negative example,No recorded landslide at this location on 2014-08-26,none,India,IN,Arunachal Pradesh,91.85672387,27.5798729,15.0,132.0,202.3,455.3,62.4,2745.0,23.60412220046119,1.0,Ao80-2bc,Ao,0
2016-09-06 00:00:00,Synthetic negative example,No recorded landslide at this location on 2016-09-06,none,India,IN,Manipur,94.3619,25.0985,3.5,19.4,47.3,76.5,13.8,1892.0,10.523133627119554,5.0,Bh16-2/3c,Bh,0
2012-09-18 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-09-18,none,India,IN,Assam,91.802,26.1966,6.8,58.2,271.8,377.0,135.8,105.0,10.085476299962467,5.0,Ao79-a,Ao,0
2014-08-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2014-08-11,none,India,IN,Meghalaya,91.2698,25.4916,24.5,59.9,118.7,171.6,29.4,1493.0,11.383724956082276,50.0,Ao75-2b,Ao,0
2018-07-18 00:00:00,Synthetic negative example,No recorded landslide at this location on 2018-07-18,none,India,IN,Arunachal Pradesh,95.4149,28.3092,9.0,22.1,76.8,255.2,24.5,1851.0,50.98081968480692,25.0,Ao80-2bc,Ao,0
2014-06-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2014-06-11,none,India,IN,Assam,94.0989,27.2298,16.0,58.199999999999996,113.5,137.4,37.8,94.0,2.1247789427521147,25.0,Be82-a,Be,0
2021-06-02 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-06-02,none,India,IN,Manipur,94.1016,24.1988,7.8,26.599999999999998,38.199999999999996,81.2,14.7,1379.0,19.94576616473369,10.0,Bh16-2/3c,Bh,0
2011-07-16 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-07-16,none,India,IN,Mizoram,92.9296,23.591,7.1,42.1,63.6,93.4,25.6,802.0,14.408778587162091,25.0,Bh16-2/3c,Bh,0
2013-08-30 00:00:00,"Yakshu, Nagaland","It was also learnt that last week, a road excavator of the BRTF, which was at the site, clearing the landslide, was carried away about 20 feet below the road by heavy mudslide.",unknown,India,IN,Nagaland,94.9731,26.4205,7.63,44.85,79.68,126.35,24.73,690.0,25.176293155000685,5.0,Bh16-2/3c,Bh,1
2014-05-08 00:00:00,Lohit District of Arunachal Pradesh,"Landslides triggered by the first monsoon spell have snapped surface communication to Tezu in Lohit district of Arunachal Pradesh. The headquarters town of Tezu was cut off from rest of the state following massive landslides due to incessant rain in the past few days. According to official sources, heavy landslides beyond 5 km point from Tohangam (O Point) have brought vehicular movement to a standstill. ""Due to sinking of the steep hill and continuous mudslide, it is foiling our rigorous efforts. For few hours the mud was cleared and the road was made thorough but the continuous rain is creating hurdles in restoration works,"" BRO official P K Gupta informed. The Alubari Ghat connecting Tezu with Namsai had also been closed owing to surging waters of the Lohit river and its tributaries, sources said.",rain,India,IN,Arunachal Pradesh,96.174,27.9032,33.77,55.08,62.54,76.49,33.77,208.0,0.926369172997235,1.0,Af48-2ab,Af,1
2013-07-10 00:00:00,Synthetic negative example,No recorded landslide at this location on 2013-07-10,none,India,IN,Tripura,91.7174,23.0137,3.4,12.8,33.1,164.2,11.3,28.0,4.124319018386397,5.0,Af46-1/2a,Af,0
2013-08-27 00:00:00,Synthetic negative example,No recorded landslide at this location on 2013-08-27,none,India,IN,Manipur,93.3729,25.1019,46.2,82.0,103.60000000000001,165.5,46.2,1140.0,8.129596852486529,5.0,Bd61-2c,Bd,0
2018-09-12 00:00:00,Synthetic negative example,No recorded landslide at this location on 2018-09-12,none,India,IN,Assam,92.5121,24.5308,4.1,7.8,19.4,90.7,7.9,58.0,10.280713071431196,1.0,Gd25-2a,Gd,0
2019-06-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2019-06-11,none,India,IN,Mizoram,92.71495623,23.72988966,1.5,11.3,54.7,75.9,25.0,980.0,23.342694612103696,1.0,Bd61-2c,Bd,0
2021-07-01 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-07-01,none,India,IN,Arunachal Pradesh,96.174,27.9032,79.7,243.7,371.1,466.0,89.5,208.0,0.926369172997235,1.0,Af48-2ab,Af,0
2011-09-11 00:00:00,Synthetic negative example,No recorded landslide at this location on 2011-09-11,none,India,IN,Nagaland,94.5282,26.0101,3.1,32.5,98.6,123.3,28.1,1706.0,14.964338094507506,5.0,Ao76-2/3c,Ao,0
2023-06-25 00:00:00,Synthetic negative example,No recorded landslide at this location on 2023-06-25,none,India,IN,Manipur,93.9128,24.837,9.3,35.9,41.6,78.9,23.5,792.0,17.946031415771497,5.0,Ao76-2/3c,Ao,0
2020-07-18 00:00:00,Synthetic negative example,No recorded landslide at this location on 2020-07-18,none,India,IN,Manipur,94.48265093,25.31006064,4.3,6.3,64.0,106.0,46.0,1528.0,30.18256697884878,25.0,Bh16-2/3c,Bh,0
2013-05-11 09:00:00,"Laipuitland , Aizawl, Mizoram",Landslides triggered by a cyclonic storm and heavy pre-monsoon rain claimed at least 10 lives and swept away nine houses in the northern part of Aizawl on Saturday morning. Seven more people are missing.,rain,India,IN,Mizoram,92.7175,23.7281,21.06,76.18,247.9,374.7,57.11,1075.0,8.496937956006335,25.0,Bd61-2c,Bd,1
2014-07-14 18:00:00,"Zembabawk, Aizawl","The State Disaster Response Force and volunteers from Falkland locality and other places continued their operation to search the body of a 30-year-old woman, swept away by a massive landslide last evening near Aizawl, despite inclement weather. Six persons, including Munna Begum, were inside a house at Falkland area of Zemabawk when the landslide swept it away, Aizawl district Additional SP Remsanga told PTI. A building construction worker Amar Hussein, from Duttapur in neighbouring Cachar district of Assam, had rented the house and was living there with two of his helpers while his wife Begum and two children recently joined them, he said. The landslide, during a heavy downpour, swept away the house and Begum was still missing while the two children sustained minor injuries, Remsanga added. Except her sarees, Begum was yet to be found and the volunteers suspected that the flash flood has swept her body to river Chite, he said.",downpour,India,IN,Mizoram,92.7463,23.7327,4.46,14.06,35.85,91.69,9.9,839.0,23.47891185858705,5.0,Bd61-2c,Bd,1
2014-08-20 00:00:00,Synthetic negative example,No recorded landslide at this location on 2014-08-20,none,India,IN,Arunachal Pradesh,94.7596,28.1737,10.9,37.6,209.5,410.7,77.4,568.0,22.113876912814764,,Ao80-2bc,Ao,0
2012-06-15 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-06-15,none,India,IN,Arunachal Pradesh,95.4112,28.3036,49.5,146.9,310.0,703.2,94.5,1828.0,39.11774685252796,,Ao80-2bc,Ao,0
2015-03-19 00:00:00,Ratacherra,"Minor landslides were also reported in Tongseng, Ratacherra and Dona areas.",rain,India,IN,Assam,92.4584,25.0318,0.01,0.01,0.01,0.03,0.01,82.0,17.3079457888422,5.0,Ge53-3a,Ge,1
2010-06-24 00:00:00,Synthetic negative example,No recorded landslide at this location on 2010-06-24,none,India,IN,Nagaland,93.9136,25.7428,45.1,87.0,190.5,298.1,52.4,463.0,20.935780187981493,50.0,Ao76-2/3c,Ao,0
2010-07-02 00:00:00,Synthetic negative example,No recorded landslide at this location on 2010-07-02,none,India,IN,Sikkim,88.6115,27.1954,64.1,96.0,368.2,546.2,218.8,471.0,7.161187087203872,5.0,Bd32-2bc,Bd,0
2012-06-10 00:00:00,Synthetic negative example,No recorded landslide at this location on 2012-06-10,none,India,IN,Nagaland,94.5234,25.8376,5.8,11.2,20.6,187.0,5.8,797.0,2.767591398229724,,Ao76-2/3c,Ao,0
2010-07-29 00:00:00,"Highway 53 at Tupul, Tamenglong district","As per media report a landslide triggered by rains occurred on 29th July, 2010 on the National Highway 53 at Tupul area in Tamenglong district. The landslide disturbed the connection of Manipur with Silchar.",downpour,India,IN,Assam,93.5027,24.9786,19.68,36.42,58.59,105.31,19.68,1312.0,18.801212904229484,10.0,Bh16-2/3c,Bh,1
2022-08-26 00:00:00,Synthetic negative example,No recorded landslide at this location on 2022-08-26,none,India,IN,Meghalaya,90.5573,25.203,2.1,5.0,29.7,77.2,11.6,139.0,16.68948805959749,5.0,Nd2-2b,Nd,0
2007-10-19 00:00:00,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur","occurred at 3 places along road (23 km), unsure of exact date within past 5 days",rain,India,IN,Nagaland,94.1162,25.4379,4.3,5.51,37.4,69.66,19.42,1497.0,16.038678192026104,50.0,Ao76-2/3c,Ao,1
2021-06-25 00:00:00,Synthetic negative example,No recorded landslide at this location on 2021-06-25,none,India,IN,Nagaland,94.5466,26.0319,3.8,10.2,71.7,231.20000000000002,24.0,1554.0,40.77036050242681,5.0,Ao76-2/3c,Ao,0
